Experience,Age,Education_Level,Job_Role,Salary
3,55,Master,Mid,30063
9,27,Bachelor,Manager,93230
6,22,Master,Senior,69223
10,32,Bachelor,Manager,99577
5,39,PhD,Mid,31748
9,32,Master,Manager,89605
6,40,Master,Senior,55332
7,53,Master,Senior,47747
5,32,Bachelor,Mid,36070
7,31,PhD,Senior,68135
7,41,PhD,Senior,68942
8,52,Master,Senior,44733
10,52,PhD,Manager,71606
5,52,Master,Mid,35697
3,29,Master,Mid,38514
4,24,Bachelor,Mid,29345
5,32,Bachelor,Mid,39854
1,53,Bachelor,Junior,23219
6,36,Bachelor,Senior,54935
6,37,Bachelor,Senior,66045
6,38,Master,Senior,44610
10,28,Bachelor,Manager,97299
2,49,Bachelor,Junior,21206
7,40,PhD,Senior,44142
3,21,Bachelor,Mid,28969
2,32,Bachelor,Junior,20551
8,47,Bachelor,Senior,49355
4,25,PhD,Mid,26507
10,41,Master,Manager,83933
1,30,Master,Junior,20097
1,47,PhD,Junior,17091
6,47,Bachelor,Senior,46631
2,34,Bachelor,Junior,22722
6,55,PhD,Senior,53431
4,24,PhD,Mid,28630
6,53,Bachelor,Senior,61246
10,52,Bachelor,Manager,94596
10,49,PhD,Manager,75031
1,53,Bachelor,Junior,21996
2,21,Master,Junior,23744
9,42,PhD,Manager,70074
2,28,PhD,Junior,18715
9,53,Master,Manager,83838
10,41,Bachelor,Manager,71183
1,22,Bachelor,Junior,20275
1,42,Bachelor,Junior,21035
4,28,Bachelor,Mid,37685
8,43,Bachelor,Senior,42993
8,55,PhD,Senior,58945
3,49,Bachelor,Mid,36099
7,32,PhD,Senior,60347
7,55,PhD,Senior,60994
9,43,PhD,Manager,73934
10,28,Bachelor,Manager,78284
3,50,PhD,Mid,28578
5,38,PhD,Mid,28104
1,21,Master,Junior,18130
2,42,PhD,Junior,22994
7,55,Master,Senior,57576
8,32,PhD,Senior,43538
7,45,PhD,Senior,57933
8,55,Bachelor,Senior,42267
9,32,Bachelor,Manager,72965
2,30,Master,Junior,24941
6,53,Bachelor,Senior,51685
4,34,PhD,Mid,30080
4,43,Master,Mid,25158
2,31,PhD,Junior,24200
4,47,Master,Mid,28654
8,55,Master,Senior,58394
8,22,Bachelor,Senior,50292
1,34,PhD,Junior,23111
2,26,PhD,Junior,24988
3,44,PhD,Mid,29704
3,55,Bachelor,Mid,34234
3,42,Bachelor,Mid,37112
7,27,PhD,Senior,56783
3,53,Bachelor,Mid,31202
3,24,PhD,Mid,36125
5,52,PhD,Mid,25733
5,51,Master,Mid,28107
5,42,Bachelor,Mid,36487
7,37,Bachelor,Senior,65823
9,33,Master,Manager,96918
4,52,PhD,Mid,37098
4,45,Bachelor,Mid,25073
9,33,PhD,Manager,93595
5,43,PhD,Mid,36293
3,38,PhD,Mid,37026
3,49,Bachelor,Mid,36547
1,32,Master,Junior,17868
10,53,PhD,Manager,88586
3,38,Master,Mid,26656
9,55,Master,Manager,94208
5,25,PhD,Mid,26329
4,38,PhD,Mid,29782
10,38,PhD,Manager,91482
2,39,Bachelor,Junior,16703
3,46,Master,Mid,39416
2,53,PhD,Junior,19031
1,46,Master,Junior,15122
8,45,Master,Senior,58836
3,32,Master,Mid,32606
4,26,Bachelor,Mid,34442
2,50,Master,Junior,19300
2,23,PhD,Junior,24952
8,32,PhD,Senior,69927
5,42,Master,Mid,31243
5,40,PhD,Mid,30577
2,23,Master,Junior,19800
6,55,Bachelor,Senior,66953
6,53,Master,Senior,52021
1,22,Bachelor,Junior,15462
5,48,Bachelor,Mid,39227
8,48,Master,Senior,47675
5,25,Bachelor,Mid,38795
2,25,Master,Junior,22830
3,34,Master,Mid,31564
6,22,Bachelor,Senior,62195
4,49,PhD,Mid,39145
1,31,PhD,Junior,15173
6,36,Master,Senior,48084
9,37,Bachelor,Manager,99727
3,24,Bachelor,Mid,26620
4,46,PhD,Mid,31256
10,27,Master,Manager,77366
8,27,Bachelor,Senior,67511
4,39,Bachelor,Mid,26307
3,42,Bachelor,Mid,29069
7,33,PhD,Senior,59049
4,31,PhD,Mid,26682
5,42,PhD,Mid,26781
